hotel_id,name,address,city,state_province,postal_code,latitude,longitude,star_rating,high_rate,low_rate
360465,DoubleTree by Hilton New York City - Financial District,8 Stone St,New York,NY,10004,40.70402,-74.01242,4,449.0811,329.1227
133146,The Franklin Hotel,164 E 87th St,New York,NY,10128,40.77989,-73.9544,3.5,319.35,224.76
424023,Refinery Hotel,63 W 38th St,New York,NY,10018,40.75211,-73.98546,5,439.37,279.37
273736,DoubleTree by Hilton Hotel New York - Times Square South,341 West 36th Street,New York,NY,10018,40.75422,-73.9943,4,409.43,332.43
279075,DoubleTree by Hilton New York City - Chelsea,128 West 29th Street,New York,NY,10001,40.74716,-73.99128,4,249.33,212.33
199889,W New York - Times Square,1567 Broadway At 47th St,New York,NY,10036,40.75936,-73.98512,4.5,616.6,381.61
163823,The Redbury New York,29 East 29th Street,New York,NY,10016,40.74501,-73.98426,4,479.34,229.34
416820,The Westin New York Grand Central,212 East 42nd Street,New York,NY,10017,40.75041,-73.97378,4.5,679.1567,499.1459
131795,"The Roosevelt Hotel, New York City",45 E 45th Street,New York,NY,10017,40.75458,-73.97749,4,359.22,229.06
217460,Hotel St. James,109 W. 45TH ST.,New York,NY,10036,40.75704,-73.98331,2.5,310.23,309.23
332678,Flatiron Hotel,9 West 26th Street,New York,NY,10010,40.74393,-73.98938,4,299.46,199.46
163194,The Gallivant Times Square,234 W 48th St,New York,NY,10036,40.76068,-73.98617,3.5,349.13,199.13
278067,Ace Hotel New York,20 West 29th Street,New York,NY,10001,40.74587,-73.98823,4,1048.983,177.6384
361504,The Pearl New York,233 West 49th Street,New York,NY,10019,40.76127,-73.98565,4,612.9219,264.3803
377242,YOTEL New York at Times Square,570 Tenth Avenue,New York,NY,10036,40.75918,-73.9958,4,429,259
324037,Four Points by Sheraton Midtown-Times Square,326 W 40th Sreet,New York,NY,10018,40.75659,-73.99224,3.5,460.77,286.48
219447,Shelburne NYC-an Affinia hotel,303 Lexington Avenue,New York,NY,10016,40.74848,-73.9782,4,369.08,149.04
439332,Viceroy Central Park New York,120 W 57th St,New York,NY,10019,40.76479,-73.97831,5,779.08,209.27
321582,Staybridge Suites Times Square,340 W 40 Street,New York,NY,10018,40.75673,-73.99261,3.5,359.2,252.16
125729,Empire Hotel,44 W 63rd St,New York,NY,10023,40.77158,-73.9826,4,230.64,229.64
163794,The Iroquois New York,49 West 44th Street,New York,NY,10036,40.7557,-73.98211,4,649.0596,399.0207
124901,The Lucerne Hotel,201 W 79th St,New York,NY,10024,40.7833,-73.97866,4,349.36,249.16
414769,Hyatt Place New York Midtown South,52 West 36th Street,New York,NY,10018,40.75058,-73.98567,3.5,320.16,319.16
117801,The Mansfield Hotel,12 W 44th St,New York,NY,10036,40.75518,-73.981,4,325,324
115902,New York Marriott Marquis,1535 Broadway,New York,NY,10036,40.75823,-73.98546,4.5,640.41,310.41
150310,NYLO New York City,2178 Broadway at W 77th St,New York,NY,10024,40.78225,-73.98025,4,158.934,108.9535
438712,Residence Inn New York Manhattan/Central Park,1717 Broadway,New York,NY,10019,40.76427,-73.98245,3.5,444.01,339.01
262491,Hampton Inn Manhattan Soho,54 Watts St,New York,NY,10013,40.72366,-74.00533,3,419.05,134.13
339013,Kimpton Hotel Eventi,851 Avenue of the Americas,New York,NY,10001,40.74719,-73.9897,5,699.17,499.17
121657,Travel Inn Hotel,515 W 42nd St,New York,NY,10036,40.75993,-73.99612,2.5,161.4,160.4
324226,Andaz Wall Street - a concept by Hyatt,75 Wall St,New York,NY,10005,40.70503,-74.00762,4.5,292.1304,242.1499
203969,The Premier New York Times Square,133 W 44th St,New York,NY,10036,40.75671,-73.98448,4.5,329.24,215.19
344720,The Nolitan,30 Kenmare St,New York,NY,10012,40.72072,-73.99526,3.5,215.49,200.49
198937,The Kimberly Hotel & Suites,145 E 50th St,New York,NY,10022,40.75614,-73.97151,4,1650.2533,188.286
114218,Park Lane Hotel,36 Central Park S,New York,NY,10019,40.76522,-73.97516,4,324.11,159.06
348293,NoMo SoHo,9 Crosby Street,New York,NY,10013,40.71992,-74.0003,4.5,945.19,375.18
340156,InterContinental - New York Times Square,300 W 44th St,New York,NY,10036,40.75874,-73.98932,4.5,789.17,369.15
202307,"The Renwick Hotel New York City, Curio Collection by Hilton",118 E 40th St,New York,NY,10016,40.75036,-73.97747,4,409.47,199.47
163790,Hampton Inn Times Square North,851 8th Ave,New York,NY,10019,40.76323,-73.98545,3,439.04,158.86
275398,Four Points by Sheraton Manhattan SoHo Village,66 Charlton St,New York,NY,10013,40.72718,-74.00601,3.5,460.74,310.71
432739,Courtyard New York Manhattan/Times Square West,307 W 37th St,New York,NY,10018,40.75435,-73.99268,3.5,399.06,259.04
126896,The Tuscany - A St Giles Signature Hotel,120 E 39th Street,New York,NY,10016,40.74981,-73.97808,4,374.14,274
332763,World Center Hotel,144 Washington St,New York,NY,10006,40.70947,-74.01394,4,409.23,219.19
126913,Wyndham New Yorker,481 Eighth Ave.,New York,NY,10001,40.75253,-73.99322,4,319.07,139.03
126106,The Kitano New York,66 Park Ave,New York,NY,10016,40.74962,-73.97962,4.5,539.0279,269.014
109362,Omni Berkshire Place,21 E 52nd Street,New York,NY,10022,40.75927,-73.97502,4.5,1000.21,1000
134388,Row NYC,700 8th Avenue,New York,NY,10036,40.75905,-73.98844,4,299.04,159.021
6295,The Manhattan at Times Square Hotel,790 7th Ave,New York,NY,10019,40.76205,-73.98259,4,260.15,180.13
234777,Residence Inn by Marriott New York Manhattan/Times Square,1033 Avenue Of The Americas,New York,NY,10018,40.75273,-73.98566,3.5,649.27,273.14
112522,Wellington Hotel,871 Seventh Ave,New York,NY,10019,40.76446,-73.98082,3,411.021,179.0094
163820,Hotel Sofitel New York,45 W 44th St,New York,NY,10036,40.75561,-73.9819,4.5,1036.1801,223.2
249659,Hilton Garden Inn Tribeca,39 Avenue of the Americas,New York,NY,10013,40.72108,-74.00534,3.5,369.02,211.66
336187,Hilton New York Fashion District,152 W 26th Street,New York,NY,10001,40.74572,-73.99364,4,189.79,129.79
237052,The Marmara Manhattan,301 E 94th St,New York,NY,10128,40.78285,-73.94776,3.5,403.9642,285.1102
163728,Ameritania at Times Square,230 W 54th Street,New York,NY,10019,40.76415,-73.9828,3.5,419.0622,289.0416
219433,Stewart Hotel,371 7th Ave,New York,NY,10001,40.74892,-73.99218,4,334,249
148866,Crowne Plaza Times Square Manhattan,1605 Broadway At 49th St,New York,NY,10019,40.76025,-73.98478,4,459.16,243.12
367406,The Gotham Hotel,16 E 46th St,New York,NY,10017,40.75566,-73.97814,4.5,679,221
390179,TRYP By Wyndham Times Square South,345 W 35th Street,New York,NY,10001,40.75359,-73.99473,4.5,399.21,269
114036,Novotel New York - Times Square,226 W 52nd St,New York,NY,10019,40.76288,-73.98363,4,218.9156,158.934
163758,Amsterdam Court Hotel,226 W 50th St,New York,NY,10019,40.76184,-73.98505,3,300,299
153584,La Quinta Inn & Suites New York City Central Park,31 W 71st St,New York,NY,10023,40.7761,-73.97777,2.5,199.24,169.2
312110,"Marriott Vacation Club Pulse, New York City",33 West 37 Street,New York,NY,10018,40.75111,-73.985,4,454.05,175.03
349751,Andaz 5th Avenue - a concept by Hyatt,485 5th Ave,New York,NY,10017,40.75287,-73.98134,4.5,845.06,345
292875,Night Hotel Times Square,157 West 47th Street,New York,NY,10036,40.75898,-73.98405,4,379,239
253420,Hilton Garden Inn New York/Manhattan-Chelsea,121 W 28th St,New York,NY,10001,40.74648,-73.99158,3.5,224.0587,143.7464
430306,Best Western Premier Herald Square,50 W 36th St,New York,NY,10018,40.75053,-73.98556,3,440.0534,225.2745
263234,Holiday Inn Express - New York City Chelsea,232 W 29th St,New York,NY,10001,40.74853,-73.9945,3,214.39,176.39
163796,DoubleTree by Hilton Metropolitan - New York City,569 Lexington Ave,New York,NY,10022,40.75695,-73.97208,4,199.32,159.32
200316,Gardens NYC-an Affinia hotel,215 E 64th St,New York,NY,10065,40.76424,-73.96326,3.5,369.44,232.44
197539,The Wall Street Inn,9 S William St,New York,NY,10004,40.70466,-74.01046,3,245.0515,164.9857
128996,Millenium Hilton,55 Church Street,New York,NY,10007,40.71124,-74.01068,4,199.45,169.45
200065,Le Parker Meridien New York,119 W. 56th Street,New York,NY,10019,40.76409,-73.97873,4.5,479.42,239.42
311346,Holiday Inn Express New York City- Wall Street,126 Water St,New York,NY,10005,40.70544,-74.00712,3,140.0073,139.0073
407095,Wyndham Garden Chinatown,93 Bowery,New York,NY,10002,40.71695,-73.99562,4,309.48,242.48
142043,Hotel Pennsylvania,401 7th Ave,New York,NY,10001,40.74996,-73.99137,2.5,469,169
109227,The Evelyn Hotel,7 E 27th St,New York,NY,10016,40.74381,-73.98713,3.5,329.0455,169.0299
150387,Millennium Broadway New York Times Square,145 W 44th St,New York,NY,10036,40.75689,-73.9849,4,339.0544,289.0416
272526,Hampton Inn New York - 35th Street - Empire State Building,59 W 35th St,New York,NY,10001,40.75013,-73.98651,3,339.33,299.33
353129,The James New York,27 Grand St,New York,NY,10013,40.72284,-74.00471,4.5,595,295
352529,Cassa Hotel 45th Street,70 West 45th St.,New York,NY,10036,40.75647,-73.98212,4,891.6393,609.0939
430580,"Club Quarters Hotel, Grand Central",128 East 45th Street,New York,NY,10017,40.75325,-73.97441,4,289.41,169.41
361485,The Jewel facing Rockefeller Center,11 West 51st Street,New York,NY,10017,40.75958,-73.9778,4,439,219
117112,Hotel Edison,228 W 47th St,New York,NY,10036,40.7598,-73.98603,3,909,379
122563,The Lombardy,111 E 56th St,New York,NY,10022,40.76066,-73.97058,4,409.33,309.33
316461,Dream Midtown,210 West 55th Street,New York,NY,10019,40.76458,-73.98183,4,669.27,319
258349,Comfort Inn Times Square South Area,305 West 39th Street,New York,NY,10018,40.75555,-73.99174,3,269.44,249.44
355972,Courtyard by Marriott New York Manhattan/SoHo,181 Varick St,New York,NY,10014,40.72752,-74.0055,3.5,529.02,239.01
125509,Loews Regency New York Hotel,540 Park Avenue,New York,NY,10065,40.76446,-73.96885,5,999.4,479.4
266211,Holiday Inn Manhattan 6th Ave - Chelsea,125 W 26th St,New York,NY,10001,40.74522,-73.99244,3.5,209.35,162.35
263989,Holiday Inn Express New York City Fifth Avenue,15 West 45th Street,New York,NY,10036,40.75577,-73.98031,3,419.04,189.02
422002,Holiday Inn Express Manhattan Times Square South,60 West 36th Street,New York,NY,10018,40.75108,-73.98685,3,369,135.16
106930,Hilton Garden Inn Times Square,790 Eighth Ave.,New York,NY,10019,40.76112,-73.98695,3.5,414.0578,293.5276
105816,Sheraton New York Times Square Hotel,811 7th Ave,New York,NY,10019,40.76264,-73.98213,4,663.32,464.32
114221,Residence Inn by Marriott New York Manhattan/Midtown East,148 E 48th St,New York,NY,10017,40.75512,-73.97292,3.5,484.09,195.06
109318,Lotte New York Palace,455 Madison Ave,New York,NY,10022,40.75823,-73.97453,4.5,1195.41,349.41
241086,"Club Quarters Hotel, opposite Rockefeller Center",25 West 51st St Entrance A,New York,NY,10019,40.75982,-73.97835,4,329.19,279
383834,Dream Downtown,355 W 16th St,New York,NY,10011,40.74195,-74.00369,4.5,5000.3501,299.36
106069,Grand Hyatt New York,109 East 42nd Street,New York,NY,10017,40.75167,-73.97659,4,1129,375.66
109730,"The Lexington New York City, Autograph Collection",511 Lexington Ave at 48th St.,New York,NY,10017,40.75508,-73.97338,4,160.0316,159.0316
112923,Waldorf Astoria New York,301 Park Avenue,New York,NY,10022,40.75658,-73.97432,4.5,280.4,210.4
325735,Trump Soho New York,246 Spring Street,New York,NY,10013,40.72563,-74.00558,5,1905.3199,345.32
135149,The Roger,131 Madison Ave,New York,NY,10016,40.74584,-73.98435,4,580.28,199.16
428011,SpringHill Suites by Marriott New York Midtown Manhattan,25 West 37th St,New York,NY,10018,40.75101,-73.98472,3.5,458.02,206.01
426344,Hampton Inn Manhattan/United Nations,231 E 43rd St,New York,NY,10017,40.75074,-73.97233,3,329.26,179.69
424524,Fairfield Inn & Suites New York Midtown Manhattan/Penn Station,325 W 33rd St,New York,NY,10001,40.75208,-73.99527,3,679.03,189.02
163777,Hilton Times Square,234 W 42nd St,New York,NY,10036,40.75679,-73.98874,4,409.06,289.83
309093,Fairfield Inn by Marriott New York Manhattan/Times Square,330 West 40th Street,New York,NY,10018,40.75665,-73.99238,3,459.03,197.02
427937,Courtyard by Marriott New York Manhattan/Herald Square,71 W 35th St,New York,NY,10001,40.75037,-73.98708,3.5,339.04,309.04
143951,Bentley Hotel,500 E 62nd St,New York,NY,10065,40.76055,-73.95833,4,419.4,319.4
124700,Courtyard by Marriott New York City Manhattan Fifth Avenue,3 E 40th St,New York,NY,10016,40.75199,-73.98132,3.5,304.02,269.02
124094,The Shoreham Hotel,33 West 55th Street,New York,NY,10019,40.76234,-73.97652,4,280.47,174.47
409752,Soho Garden Hotel,276 Canal Street,New York,NY,10013,40.71918,-74.00165,2.5,300.4602,160.7015
207138,Hampton Inn New York Chelsea,108 W 24th St,New York,NY,10011,40.74383,-73.99297,3,389.0567,339.0544
270634,Candlewood Suites New York City-Times Square,339 W 39th Street,New York,NY,10018,40.75615,-73.99311,3,319.15,237.15
244448,Wingate by Wyndham Manhattan Midtown,235 W 35th St,New York,NY,10001,40.75217,-73.99139,3,329.39,237.39
441795,United Nations Apartment Hotel,302 E 45th St,New York,NY,10017,40.75152,-73.97037,2.5,400,399
106038,ONE UN New York,One United Nations Plaza,New York,NY,10017,40.75051,-73.96978,4,959.2,290.19
423782,Hampton Inn Manhattan/Downtown-Financial District,32 Pearl St,New York,NY,10004,40.7032,-74.01247,3,439.24,208.17
272124,Holiday Inn New York City - Wall Street,51 Nassau St.,New York,NY,10038,40.70888,-74.00908,3.5,204.0099,169.0088
134540,Pod 51,230 E 51st St,New York,NY,10022,40.75589,-73.96899,3,275.41,150.41
139959,Washington Jefferson Hotel,318 W 51st St,New York,NY,10019,40.76345,-73.98687,3.5,279.46,259.46
143863,The Time New York,224 West 49th Street,New York,NY,10019,40.76112,-73.98529,4,299.45,159.45
163766,Belnord Hotel,209 West 87th Street,New York,NY,10024,40.78872,-73.97534,2.5,151.0278,150.0278
440402,Courtyard by Marriott New York Manhattan / Chelsea,135 West 30th Street,New York,NY,10001,40.74803,-73.9914,3.5,339.01,179.01
140878,The Moderne,243 W 55th St,New York,NY,10019,40.76508,-73.98301,3.5,429.03,259.01
140893,The Belvedere Hotel,319 W 48th St,New York,NY,10036,40.76153,-73.98816,3.5,513.8045,358.8563
469458,Gansevoort Park Avenue NYC,420 Park Ave South,New York,NY,10016,40.74386,-73.98377,4.5,710.23,275.17
270602,Holiday Inn Express New York City Times Square,343 W 39th Street,New York,NY,10018,40.75619,-73.99322,3,306.0163,248.0131
462387,West Side YMCA,5 West 63rd Street,New York,NY,10023,40.77081,-73.98074,2,162.65,121.35
116175,The Gregory,42 W 35th St,New York,NY,10001,40.74988,-73.98597,4,304.35,259.35
196593,Park South Hotel,124 E 28th,New York,NY,10016,40.74288,-73.98305,4,408.4091,308.9944
171177,The Kimpton Muse Hotel,130 W 46th St,New York,NY,10036,40.75798,-73.98362,4.5,579.46,278.46
174153,Dylan Hotel NYC,52 E 41st St,New York,NY,10017,40.75193,-73.97926,4,454,274.55
341910,W New York - Downtown,8 Albany Street,New York,NY,10006,40.70946,-74.01394,4.5,389.19,179.45
374895,Hotel 48LEX New York,517 Lexington Avenue,New York,NY,10017,40.75525,-73.9732,4.5,1539.38,339.06
413222,Comfort Inn Midtown West,548 W 48th Street,New York,NY,10036,40.7643,-73.99477,2.5,249.24,229.24
